depth,min,max,median,mean,Ambrosia-type,Betula,Carya,Cyperaceae,Fagus,Fraxinus nigra-type,Fraxinus pennsylvanica-type,Juglans cinerea,Ostrya/Carpinus,Pinus,Platanus,Prunus/Sorbus,Quercus,Tsuga,Acer rubrum,Alnus incana-type,Apiaceae,Asteroideae undiff.,Ilex,Indeterminable,Juglans nigra,Poaceae undiff.,Rumex,Sphagnum,Ulmus,Acer saccharum-type,Artemisia,Castanea,Cornus,Corylus,Myrica,Nyssa,Osmunda,Plantago lanceolata,Poaceae (Cerealia),Rhamnaceae/Vitaceae,Ericaceae,Salix,Tilia,Pteridium-type,Thalictrum,Alnus viridis-type,Caprifoliaceae sensu lato,Dryopteris-type,Picea,Polygonum sensu lato,Unknown,Abies,Anacardiaceae,Polypodiophyta undiff.,Onagraceae,Isoëtes,Lemnoideae,Lycopodium-type,Potamogetonaceae,Potentilla-type,Sagittaria,Sanguisorba,Sparganium-type,Menyanthes trifoliata,Caryophyllaceae,Spermatophyta undiff. (aquatics),Cupressaceae,Ranunculus
90,4732,7011,6096,6048,0.625,1.25,1.25,6.875,1.875,0,0,0,0.9375,6.25,0,0,33.125,5.625,0.3125,0.625,0.625,0,1.5625,0,0,3.75,0,0.3125,0.3125,0.625,0,9.0625,0,0.3125,0,17.5,5.3125,0,0,0,0.3125,0,0,0,0.3125,0.3125,0.3125,0,0,0.3125,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5849,7513,6921,6860,0.307692308,0.923076923,0.615384615,7.384615385,2.153846154,0,0,0.307692308,0.615384615,6.769230769,0,0,31.69230769,4.923076923,1.230769231,0.615384615,0.307692308,0,1.230769231,0,0,0.923076923,0,1.230769231,0.307692308,0.307692308,0,8.923076923,0,0,0,21.53846154,6.153846154,0,0,0,0,0,0,0,0,0.307692308,0,0,0.307692308,0,0.307692308,0,0.307692308,0,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0
105,6514,7682,7330,7267,0.632911392,1.898734177,0.632911392,6.012658228,1.898734177,0.316455696,0.316455696,0,0.632911392,8.860759494,0.316455696,0,30.06329114,6.962025316,0.316455696,0,0.316455696,0.316455696,1.898734177,0,0,2.848101266,0,0,0.316455696,0.316455696,0,9.810126582,0,0.316455696,0,17.40506329,4.746835443,0,0,0,0,0,0,0,0,0.632911392,0.632911392,0,0.632911392,0,0.316455696,0.632911392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.5,7207,7782,7536,7525,0,2.848101266,0.316455696,6.64556962,0.632911392,0.316455696,0,0,0.949367089,35.44303797,0,0.316455696,5.063291139,0.632911392,0,0,0.316455696,1.582278481,0.632911392,0,0,2.53164557,0,0.949367089,0.316455696,0,0,0,0,1.265822785,0,0.316455696,1.265822785,0,0,0,0,1.265822785,0,0,0,16.4556962,0.316455696,0.316455696,8.544303797,0,0.316455696,3.481012658,0,0,0,0.316455696,0.316455696,0.632911392,0.632911392,0.949367089,0.316455696,3.164556962,0.632911392,0,0,0,0,0
110,7495,8160,7769,7784,0,4.458598726,0,13.37579618,0,0.636942675,0,0,0.955414013,28.98089172,0,0.318471338,3.821656051,0.318471338,0,0.955414013,0.318471338,2.547770701,0,0.318471338,0,4.140127389,0,1.910828025,0,0.318471338,0.318471338,0,0.318471338,0.955414013,1.27388535,0,0,0,0,0,0,0.955414013,0,0.318471338,0,15.92356688,0,0,8.917197452,0,0.318471338,2.547770701,0,0,0,1.910828025,0,0,0,0.318471338,0,2.229299363,0,0.318471338,0,0,0,0
115,7854,11120,8861,9027,0.3125,2.5,0,15.625,0.3125,0.9375,0,0,2.8125,27.1875,0,0.9375,2.1875,0,0,0,0,3.4375,0.3125,0,0,0.9375,0,1.5625,0,0,0.625,0,0,1.5625,0.625,0,0,0,0,0,0,0.9375,0,0,0,10.9375,0,0.3125,12.1875,0,0,2.1875,0,0,0.3125,2.1875,0,0.3125,0.3125,0,0.3125,6.25,0.625,0.3125,0.3125,0.625,0,0
120,8488,12800,10222,10342,0.3125,2.5,0,8.4375,0.3125,0.3125,0,0,0.3125,20.3125,0,0,5.625,0.3125,0,0.3125,1.5625,5,0.625,0,0,0.9375,0,1.25,0,0,0.625,0,0.3125,1.875,0.3125,1.25,0.9375,0,0,0,0,0,0,0,0.625,6.25,0.3125,0.625,20.3125,0,0.3125,0.9375,0,0,0,1.25,0,0,0,0,0,14.0625,0.9375,0.9375,0,0,0,0
125,9468,13911,11666,11664,0,2.312138728,0.289017341,15.60693642,0.289017341,0.289017341,0,0,0.289017341,19.07514451,0,0,4.335260116,0.578034682,0,0.578034682,0.289017341,4.046242775,0.289017341,0.289017341,0,3.468208092,0.289017341,0.289017341,0,0,0,0,0,0,0.289017341,1.156069364,0.578034682,0,0,0,0,0,0,0,0,4.624277457,0,0.289017341,12.42774566,0,0.867052023,2.023121387,0,0,0,7.514450867,0,0.289017341,0.578034682,0,0,13.29479769,2.023121387,0.578034682,0,0.289017341,0.289017341,0.289017341
130,10630,14862,12934,12900,0.289855072,2.898550725,0,10.43478261,0,0,0,0,0.579710145,8.115942029,0,0.289855072,1.739130435,0,0,0.289855072,2.028985507,5.507246377,0,0,0,3.47826087,0,0,0,0,0.579710145,0,0.289855072,0,0.289855072,0,0,0,0,0,0,0.869565217,0,0,0.579710145,0,0,0,20.28985507,0,1.449275362,0.869565217,0,0,0.289855072,8.115942029,0,0.289855072,0.289855072,0.289855072,0,26.37681159,1.739130435,1.15942029,0,0.289855072,0,0.289855072
140,14664,16184,15468,15441,0.324675325,1.298701299,0,3.246753247,0,0,0,0,0.324675325,8.116883117,0,0.324675325,1.948051948,0,0,0.649350649,2.272727273,7.467532468,0,0,0,2.597402597,0.324675325,0,0,0,1.298701299,0,0.324675325,0,0,0,0,0,0,0,0,0.324675325,0,0,0.324675325,0,0,0,30.19480519,0,0.974025974,0,0,0,0.324675325,0.324675325,0,0,0,1.298701299,0,34.09090909,0.974025974,0.649350649,0,0,0,0
