age_ka,Dust conc [microg/kg]
14580.4,196.72
14592,220.42
14603.2,158.48
14614.9,222.3
14627.8,302.32
14642.5,532.04
14661.5,727.79
14682,874.48
14701.8,935.38
14721,904.6
14739.5,828.09
14758.1,884.8
14777.7,1025.3
14797.8,1066.45
14817.9,1047.18
14839.4,1149.37
14861.2,1216.11
14883.8,1491.07
14907.3,1346.22
14930.1,1258.35
14952,1889.51
14975.7,1296.06
15000.8,1192.07
15024.4,1116.18
15048,1473.46
15072.9,1333.59
15099,1361.32
15124.3,1434.64
15148.8,1226.9
15173.5,1400.39
15197.3,1320.24
15220.6,1536.5
15243.7,1580.84
15266.7,1247.8
15290.5,1035.47
15314.9,1076.56
15339.3,1163.54
15363,1385.08
15387.2,1363.39
15411.2,1131.36
15434,1403.57
15457.4,1440.03
15481.6,1123.14
15506.3,1448.82
15532.3,1638.13
15558.4,1493.82
15583,1423.81
15608.5,1753.14
15635.8,1444.42
15662.5,1361.37
15688.4,1624.89
15715.2,1829.05
15742.7,1463.68
15768.6,1440.52
15792.4,1652.3
15814.6,1038.2
15837.4,1840.77
15862.5,1629.79
15887.1,1446.13
15910.6,1782.75
15934,1609.34
15957.5,1534.55
15980.4,1635.56
16003.7,1744.13
16028.4,1976.55
16053.1,2053.71
16078.2,1954.93
16103.4,1972.32
16128.3,2052.52
16152.6,1983.29
16176.9,1636.52
16202.8,1958.79
16228.4,1908.57
16253.8,1463.59
16279.4,1638.83
16303.7,1891.7
16326.5,1773.5
16349.5,2083.91
16373.4,1973.92
16397,2472.1
16420,2657.76
16444.1,2114.74
16468.4,1969.18
16492.7,2154.39
16518.7,2625.85
16544.6,2091.64
16568.1,1919.64
16589.9,2041.92
16611.2,2045.3
16633.8,2042.3
16657.5,2387.99
16682,1574.04
16706.3,2464.58
16729.6,2120.03
16752.9,1789.17
16775.7,2064.2
16797.8,1868.68
16821.2,1836.89
16846.4,2009.3
16873.2,2373.95
16899.2,2252.01
16923.9,2342.61
16948,2196.18
16971.6,2530.28
16995.1,2524.09
17017.6,2701.25
17040.9,2380.63
17063.5,2577.34
17085.3,2408.48
17108.2,2103.92
17131.7,2561.72
17155,2282.6
17177.3,2008.54
17201.9,2624.86
17228.5,2131.86
17253.6,3789.9
17279.3,2882.16
17304.7,2493.86
17327.3,1986.86
17349.9,2423.77
17374.9,3302.27
17400.1,2878.79
17424.4,3062.31
17449.4,3223.69
17475.4,1227.77
17501.5,2300.66
17527.4,2524.15
17552.2,2645.95
17575.8,2491.8
17599.1,2821.06
17620.4,2061.58
17642.2,2105.16
17667.9,1569.97
17694.4,1360.16
17719.5,1365.32
17743.4,1193.88
17765.2,947.25
17786.5,1480.96
17810.1,1914.64
17834.8,1537.43
17858.3,1684.1
17880.9,2457.12
17905.6,1419.93
17931.1,2217.75
17955.6,2357.38
17980.9,
18006.7,
18033.1,
18057.6,1902.96
18080,1729.95
18102.6,1565.37
18124.6,1333.5
18146.7,1842.78
18169.4,1574.37
18192.9,1902.55
18218.7,2227.36
18242.7,1971.52
18265,1583.05
18289.3,1670.1
18314.4,1805.26
18341.1,1521.32
18368,1522.87
18393.5,1275.91
18419,
18444.1,
18468.3,
18492.9,1178.95
18518.3,1286.4
18543.1,1368.82
18566.7,1595.88
18590.2,1977.56
18614.2,1414.96
18638.2,2070.8
18662.4,2052.46
18686,2110.49
18709.7,1848.02
18734.3,1897.98
18758.2,1945.83
18780.6,1719.48
18802.8,1815.85
18826.5,1833.48
18851.8,2459.38
18876.8,2089.77
18902.2,2203.67
18927.5,2092.02
18952.5,2438.64
18978.4,2008.43
19003.3,1694.03
19027.7,1536.38
19052.9,2285.5
19077.1,2234.06
19101.8,2780.72
19126.6,2632.08
19151.4,1740
19177.6,1970.27
19203.1,1795.61
19227.7,1898.06
19253.3,1772.97
19278.2,1499.97
19302.9,1429.31
19328.6,1378.59
19353.7,1741.14
19377.2,1490.19
19400.9,1732.67
19425.6,1713.24
19449.5,2080.3
19473.6,2237.39
19497,1798.01
19519.6,1619.86
19543,1621.59
19568.4,1782.16
19593.6,1671.71
19619.6,1711.3
19646.4,2233.38
19673.4,2587.06
19701.2,2173.04
19727.3,2625.91
19751.8,2163.17
19776.2,1981.26
19800,1769.54
19823.6,1717.64
19848.4,2374.6
19873.4,1987.24
19897.4,1659.36
19922.3,1852.17
19948.6,2040.06
19975.2,1984.24
20000.2,2162.44
20024,2294.01
20049.9,1709.23
20076,1671.39
20101.1,1629.87
20125.5,1449.1
20148.6,1555.83
20171.5,1451.12
20195,1492.06
20218.1,1932.57
20241.6,2126.74
20264.9,1598.48
20289.1,2045.23
20316.1,2264.67
20342.2,2557.05
20367.4,2562.61
20394.5,2486.48
20420.8,2255.69
20445,2432.55
20469.8,2231.45
20494.3,2169.7
20518.9,1752.11
20543.7,1481.84
20567.6,1065.6
20592.2,1281.66
20616.9,1272.8
20643.4,1464.6
20670.7,1373.87
20695.9,1650.45
20720.7,1931.2
20746.2,2327.4
20772.7,1883.73
20799.5,1684.57
20826.9,1981.28
20854.2,2322.25
20881.9,2508.79
20910.1,2245.69
20938.3,3228.5
20966.9,1745.03
20995.9,2035.22
21025.1,2292.84
