depth,strat,min,max,median,mean,Acer rubrum,Amaranthaceae,Ambrosia-type,Anacardiaceae,Asteroideae undiff.,Betula,Carya,Cyperaceae,Fagus,Fraxinus pennsylvanica-type,Ilex,Juglans cinerea,Lemnoideae,Liquidambar,Lycopodium-type,Nyssa,Osmunda,Pinus,Plantago,Platanus,Poaceae undiff.,Potentilla-type,Quercus,Rhamnaceae/Vitaceae undiff.,Rubiaceae,Rumex,Salix,Tsuga,Ulmus,Urtica-type,Alnus incana-type,Artemisia,Castanea,Dryopteris-type,Ericaceae,Ostrya/Carpinus,Poaceae (Cerealia),Sparganium-type,Abies,Juglans nigra,Picea,Pteridium-type,Sphagnum,Unknown,Acer saccharum-type,Fraxinus nigra-type,Populus,Corylus,Myrica,Thalictrum,Polygonum sensu lato,Typha latifolia,Caprifoliaceae sensu lato,Diospyros-type,Potamogetonaceae,Sagittaria,Rhamnaceae,Brasenia schreberi,Isoëtes,Sanguisorba,Alnus viridis-type,Caryophyllaceae,Nuphar,Onagraceae,Spermatophyta undiff. (aquatics),Cichorioideae,Cupressaceae,Menyanthes trifoliata,Myriophyllum,Lamiaceae,Polypodiophyta undiff.,Athyrium,Polemoniaceae,Brassicaceae,Equisetum,Campanulaceae
50,silty peat,12845,13494,13198,13188,0,0,0.436681223,0,1.746724891,3.493449782,0.655021834,3.930131004,2.620087336,0,0.218340611,0,0,0,0,3.056768559,0.873362445,3.711790393,0,0,3.930131004,0,40.82969432,0,10.48034934,0,0.218340611,3.056768559,0.218340611,0,1.746724891,0,0.436681223,14.41048035,0.218340611,0,0,0,0.436681223,0.436681223,0.436681223,0.436681223,0.436681223,0,0.218340611,0,0.218340611,0,0,0,0,0,0.873362445,0,0,0,0.218340611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.5,organic silt with plant fragments,12859,13503,13211,13200,0.274725275,0,0.549450549,0,1.923076923,8.516483516,0.274725275,1.923076923,1.098901099,0,0,0,0,0,0.274725275,0.274725275,0.824175824,33.51648352,0,0,3.021978022,0.274725275,17.85714286,0,2.472527473,0,0,0.824175824,0.274725275,0,3.571428571,0,0,3.846153846,0,2.472527473,0,0,2.197802198,0,3.571428571,0.274725275,0,0,0,1.098901099,0,2.747252747,0,0,0,0,0.274725275,0,0,0.274725275,0,1.098901099,4.120879121,0.274725275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,organic silt with plant fragments,12870,13514,13223,13213,0.464037123,0,0,0,0.928074246,4.872389791,0,3.248259861,0.464037123,0,0,0,0,0,0.464037123,1.62412993,0.696055684,23.66589327,0,0,3.712296984,0,19.95359629,0,7.656612529,0,0,0.928074246,0.232018561,0.232018561,4.872389791,0,0.232018561,11.60092807,0,1.160092807,0,0,0.928074246,0.232018561,3.016241299,0.928074246,0.232018561,0,0,0.928074246,0,0.928074246,0,0,0,0,0.696055684,0,0,0,0,0.232018561,3.248259861,0.232018561,0.464037123,0.232018561,0.232018561,0.232018561,0.232018561,0,0,0,0,0,0,0,0,0,0,0
57.5,organic silt with plant fragments,12886,13526,13235,13225,0,0,0.299401198,0,0.598802395,12.2754491,0.299401198,3.293413174,0.299401198,0,0,0,0,0,0,0.598802395,0,35.62874251,0,0,2.395209581,0.299401198,8.682634731,0,0.299401198,0,0.898203593,0.299401198,0.598802395,0,3.892215569,0,0,3.592814371,0,3.293413174,0,0,1.796407186,0,6.28742515,0.598802395,0.898203593,0,0,2.395209581,0,0.898203593,0,0,0,0.299401198,0,0,0,0,0,1.19760479,5.089820359,0,0,0,2.395209581,0,0,0.299401198,0.299401198,0,0,0,0,0,0,0,0,0
60,organic silt with plant fragments,12899,13541,13247,13238,0,0,0.295857988,0,1.775147929,6.50887574,0,3.25443787,0.295857988,0,0,0,0,0,0.295857988,0,0.295857988,38.16568047,0,0,2.071005917,0.591715976,5.621301775,0,0,0,0.591715976,0,0,0,7.396449704,0,0,1.183431953,0,3.25443787,0,0,2.662721893,0,4.437869822,2.958579882,0,0,0.591715976,3.846153846,1.183431953,0.887573964,0,0,0,0,0,0,0.295857988,0,0,1.775147929,8.875739645,0,0,0,0.591715976,0,0,0,0,0.295857988,0,0,0,0,0,0,0,0
70,organic silt with plant fragments,12954,13583,13298,13289,0,0,0,0,0.526315789,6.315789474,0.263157895,5.263157895,0.263157895,0.263157895,0,0,0,0,1.842105263,0,0,32.63157895,0,0,5,1.052631579,3.684210526,0,0,0,0.789473684,0,0.263157895,0,4.210526316,0,0,0.789473684,0,3.157894737,0,0,3.421052632,0,3.684210526,1.842105263,0.526315789,0,0,2.105263158,0.526315789,0.263157895,0,0,0,0,0.263157895,0,0,0,0,2.894736842,16.57894737,0.526315789,0,0,0.263157895,0,0,0,0.263157895,0,0.526315789,0,0,0,0,0,0,0
80,organic silt with plant fragments,13015,13631,13350,13342,0,0,0,0,1.570680628,5.235602094,0.261780105,1.308900524,0.261780105,0,0,0,0,0,0.785340314,0,0,36.91099476,0,0,1.832460733,0.261780105,6.806282723,0,0,0,0.261780105,0,0.261780105,0,4.712041885,0.785340314,0,1.570680628,0,3.141361257,0,0,2.356020942,0,4.188481675,1.047120419,0.261780105,0,0,2.879581152,0.785340314,0.261780105,0,0,0,0,0.523560209,0,0.261780105,0,0,1.047120419,19.63350785,0,0,0,0.523560209,0,0,0,0.261780105,0,0,0,0,0,0,0,0,0
90,organic silt with plant fragments,13073,13678,13407,13397,0,0,0.281690141,0,1.126760563,6.197183099,0.281690141,3.661971831,0.281690141,0,0.281690141,0,0,0,0.281690141,0,0.563380282,34.64788732,0,0,1.971830986,0.281690141,10.14084507,0,0.845070423,0,0.563380282,0,0.281690141,0.281690141,4.225352113,0,0.281690141,3.38028169,0.281690141,3.38028169,0,0.281690141,3.661971831,0,3.098591549,1.126760563,0.281690141,0,0.281690141,1.971830986,0.563380282,0.845070423,0.281690141,0,0,0,0,0,0.281690141,0,0,2.816901408,10.14084507,0.281690141,0,0,0.281690141,0,0,0,0,0,0.281690141,0,0,0,0,0,0,0
100,organic silt with plant fragments,13137,13731,13463,13452,0,0,0,0,1.044386423,4.960835509,0.261096606,4.699738903,0,0,0,0,0,0,1.305483029,0,0,35.50913838,0,0.261096606,1.82767624,0.261096606,6.005221932,0,0,0,0.261096606,0,0,0,2.872062663,0,0.261096606,0.783289817,0,2.610966057,0,0.261096606,3.394255875,0,7.049608355,2.088772846,0.522193211,0,0,1.044386423,0.261096606,0.522193211,0.261096606,0,0,0,0.261096606,0,0,0,0,1.305483029,19.58224543,0.522193211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,organic silt with plant fragments,13196,13777,13517,13507,0,0,0.238663484,0,0.238663484,3.579952267,0,3.102625298,0.238663484,0,0,0,0,0,2.14797136,0,0,36.27684964,0,0,2.386634845,0.715990453,5.011933174,0,0,0,0.477326969,0,0,0.238663484,3.341288783,0.238663484,0,1.193317422,0,2.14797136,0,0.238663484,1.909307876,0,3.579952267,0.715990453,0.238663484,0,0,1.431980907,0,0.715990453,0,0.238663484,0,0,0,0,0,0,0,1.909307876,26.49164678,0.954653938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
