depth,strat,min,max,median,mean,Acer rubrum,Amaranthaceae,Ambrosia-type,Anacardiaceae,Asteroideae undiff.,Betula,Carya,Cyperaceae,Fagus,Fraxinus pennsylvanica-type,Ilex,Juglans cinerea,Lemnoideae,Liquidambar,Lycopodium-type,Nyssa,Osmunda,Pinus,Plantago,Platanus,Poaceae undiff.,Potentilla-type,Quercus,Rhamnaceae/Vitaceae undiff.,Rubiaceae,Rumex,Salix,Tsuga,Ulmus,Urtica-type,Alnus incana-type,Artemisia,Castanea,Dryopteris-type,Ericaceae,Ostrya/Carpinus,Poaceae (Cerealia),Sparganium-type,Abies,Juglans nigra,Picea,Pteridium-type,Sphagnum,Unknown,Acer saccharum-type,Fraxinus nigra-type,Populus,Corylus,Myrica,Thalictrum,Polygonum sensu lato,Typha latifolia,Caprifoliaceae sensu lato,Diospyros-type,Potamogetonaceae,Sagittaria,Rhamnaceae,Brasenia schreberi,Isoëtes,Sanguisorba,Alnus viridis-type,Caryophyllaceae,Nuphar,Onagraceae,Spermatophyta undiff. (aquatics),Cichorioideae,Cupressaceae,Menyanthes trifoliata,Myriophyllum,Lamiaceae,Polypodiophyta undiff.,Athyrium,Polemoniaceae,Brassicaceae,Equisetum,Campanulaceae
265,banded silt,14028,14507,14272,14270,0,0,0.996677741,0,5.315614618,11.62790698,0,13.28903654,0,0,0,0,0,0,0.996677741,0,0,8.305647841,0,0,36.87707641,0.332225914,0,0,0,0,1.993355482,0,0,0.332225914,1.328903654,0.996677741,0,0.996677741,0,0,0,0,0,0.332225914,11.29568106,0,0,0,0,0,0,0,0,0.332225914,1.328903654,0,0,0,0,0,0,0,1.328903654,0.332225914,0.664451827,0,0,0,0,0,0.996677741,0,0,0,0,0,0,0,0,0
275,banded silt,14071,14549,14315,14315,0,0,0,0,3.618421053,9.210526316,0,16.11842105,0,0,0,0,0,0,0.328947368,0,0,8.552631579,0,0,36.51315789,0,0.328947368,0,0.328947368,0.657894737,0.657894737,0,0,0.328947368,1.644736842,0.657894737,0,0.328947368,0.328947368,0,0,0,0,0,15.13157895,0.328947368,0.328947368,0,0,0,0,0,0,0.657894737,0.986842105,0,0,0,0,0,0,0,0.986842105,0,0,0.657894737,0,0,0,0.657894737,0.328947368,0,0,0,0.328947368,0,0,0,0,0
285,banded silt,14112,14600,14360,14360,0,0,0.664451827,0,2.990033223,8.305647841,0,13.95348837,0,0,0,0,0,0,0.332225914,0,0,9.302325581,0,0,39.20265781,0,0.332225914,0,0,1.328903654,1.328903654,0,0,0,0.664451827,0,0,0.332225914,0.332225914,0.332225914,0,0,0.664451827,0,14.28571429,0,0,0,0,0,0,0,0,0,2.657807309,0,0,0,0,0,0,0,0.664451827,0,0.664451827,0.664451827,0,0,0,0,0,0,0,0,0.664451827,0,0.332225914,0,0,0
295,banded silt,14156,14646,14404,14404,0,0,0,0,3.278688525,6.885245902,0,14.42622951,0.327868852,0.327868852,0,0,0,0,0,0,0,6.885245902,0,0,45.57377049,0,0.655737705,0,0,0.983606557,0,0,0,0,0.983606557,0,0,0.327868852,0,0,0,0,0.655737705,0,12.45901639,0,0.655737705,0,0,0,0,0,0,0,2.295081967,0,0,0,0,0,0,0,0.983606557,0.327868852,0,0.655737705,0,0,0,0.655737705,0,0,0,0,0,0,0,0,0,0.655737705
305,banded silt,14205,14691,14447,14449,0,0,0.33557047,0,2.013422819,8.724832215,0,12.41610738,0,0,0,0,0,0,1.342281879,0,0,13.42281879,0,0,32.55033557,0,0.33557047,0,0,0.67114094,1.006711409,0,0,0,1.342281879,0.33557047,0,0.33557047,0,0,0,0,1.342281879,0,18.12080537,0,0,0,0,0,0.33557047,0,0,0.33557047,0.33557047,0,0,0,0,0,0.33557047,0,0.33557047,0.67114094,0.67114094,1.006711409,0,0,0,0,1.342281879,0,0,0,0,0,0.33557047,0,0,0
315,banded silt,14250,14742,14491,14494,0,0,0,0,5.016722408,7.023411371,0,7.692307692,0,0,0,0,0,0,0,0,0,16.05351171,0,0,39.46488294,0,0.668896321,0,0,0.334448161,0.668896321,0,0,0,1.672240803,0.334448161,0,0.668896321,0.334448161,0,0,0,0.334448161,0,16.72240803,0.334448161,0,0,0,0,0,0,0,0,0.334448161,0,0,0,0,0,0,0,0.334448161,0.334448161,0,1.003344482,0,0,0,0,0,0,0,0,0,0,0.668896321,0,0,0
325,banded silt,14296,14784,14535,14538,0,0,0.337837838,0,3.716216216,8.445945946,0,11.48648649,0,0,0,0,0,0,2.027027027,0,0,13.17567568,0,0,38.17567568,0,0.675675676,0,0,0,1.689189189,0,0.337837838,0.337837838,3.378378378,1.013513514,0,0.675675676,0.675675676,0.675675676,0,0,0.675675676,0,9.459459459,0,0.675675676,0.337837838,0,0,0,0,0,0,0.675675676,0,0,0,0,0,0,0,0.337837838,0,0.337837838,0.675675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,banded silt,14387,14876,14621,14627,0,0,0.333333333,0,1.666666667,14.33333333,0,16,0,0,0,0,0,0,1.666666667,0,0,16.33333333,0,0,18,0,0.333333333,0,0,0,3,0,0,0.333333333,1,0,0,1.666666667,0.666666667,0,0,0,1.666666667,0,14.33333333,0,0.333333333,0.333333333,0.333333333,0,0.333333333,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0.333333333,0,3,1,0,0,0,0,1.333333333,0,0,0,0.666666667,0,0,0,0,0
365,banded silt,14478,14971,14705,14716,0,0,0.37593985,0,2.631578947,15.03759398,0.37593985,11.65413534,0,0,0,0,0,0,0.751879699,0,0,17.66917293,0,0,29.32330827,0,0.751879699,0,0,0,3.759398496,0,0,0.37593985,1.503759398,0.37593985,0,0.37593985,0.37593985,0,0,0,0.37593985,0,8.646616541,0,0,0.37593985,0,0,0,0,0,0,1.503759398,0,0,0,0,0,0,0,0,0.37593985,0.37593985,1.127819549,0,0,0,0,0,0,0,0,1.503759398,0,0,0,0,0.37593985
385,banded silt,14567,15063,14789,14804,0,0,0.664451827,0,1.993355482,12.95681063,0,8.637873754,0,0,0,0,0,0,0.664451827,0,0,18.93687708,0,0,29.56810631,0,0.332225914,0,0,0,1.661129568,0,0,0.332225914,3.65448505,0.664451827,0,0,0.664451827,0.332225914,0,0,0.664451827,0,13.28903654,0.332225914,0.996677741,0.332225914,0,0,0,0,0,0.664451827,0.332225914,0,0,0,0,0,0,0,0,0.332225914,0.332225914,0.332225914,0,0,0,0.332225914,0,0,0,0,0.664451827,0,0.332225914,0,0,0
405,banded silt,14661,15167,14887,14900,0,0,0.328947368,0,1.315789474,8.223684211,0,15.13157895,0,0,0,0,0,0,1.315789474,0,0,19.07894737,0,0,23.02631579,0,1.644736842,0,0,0.328947368,1.315789474,0,0.328947368,0,3.289473684,0.328947368,0,0.328947368,0.328947368,0,0,0,0,0,16.11842105,0.657894737,0,0.657894737,0,0,0,0,0,0.657894737,0.328947368,0,0,0,0,0,0,0,0.986842105,0.657894737,0.657894737,1.973684211,0,0,0,0.328947368,0,0,0,0,0.657894737,0,0,0,0,0
415,banded silt,14709,15218,14937,14948,0,0,0,0,0.350877193,15.0877193,0,7.719298246,0,0,0,0,0,0,7.719298246,0,0,31.57894737,0,0,6.315789474,0,0.350877193,0,0,0,0.350877193,0,0,0,5.263157895,1.052631579,0,2.456140351,0,0.350877193,0,0,0.350877193,0,14.73684211,0,1.052631579,0.350877193,0,0,0,0,0,1.052631579,1.052631579,0,0,0,0,0,0,0,0.350877193,0.350877193,0,1.052631579,0,0,0,0,0,0,0,0,1.052631579,0,0,0,0,0
