depth,min,max,median,mean,Acer rubrum,Acer saccharum-type,Alnus incana-type,Amaranthaceae,Ambrosia-type,Anacardiaceae,Angiospermae undiff. (herbs),Artemisia,Asteroideae undiff.,Betula,Caprifoliaceae sensu lato,Carya,Castanea,Cyperaceae,Ericaceae,Fagus,Fraxinus pennsylvanica-type,Juglans cinerea,Juglans nigra,Larix,Liquidambar,Lycopodium-type,Osmunda,Ostrya/Carpinus,Picea,Pinus,Plantago,Platanus,Poaceae undiff.,Polypodiophyta undiff.,Populus,Prunus/Sorbus,Quercus,Rumex,Sphagnum,Tsuga,Ulmus,Vitis,Dryopteris-type,Menyanthes trifoliata,Myrica,Poaceae (Cerealia),Pteridium-type,Apiaceae,Equisetum,Fraxinus nigra-type,Nyssa,Brasenia schreberi,Corylus,Celtis,Diospyros-type,Rhamnaceae,Sagittaria,Acer negundo,Nuphar,Thalictrum,Cornus,Salix,Cupressaceae,Myriophyllum,Nymphaea,Ilex,Rubiaceae undiff.,Spermatophyta undiff. (aquatics),Potamogetonaceae,Galium,Polygonum sensu lato,Sparganium-type,Tilia,Isoëtes,Typha latifolia,Rhamnaceae/Vitaceae undiff.,Taxus,Abies,Urtica-type,Alnus viridis-type,Morus,Sanguisorba,Spermatophyta undiff. (shrubs),Moraceae undiff.,Caryophyllaceae,Selaginella
215,899,2266,1452,1486,0.867052023,0,4.624277457,0.289017341,0,0,1.156069364,0,0,8.38150289,0.289017341,2.89017341,1.445086705,2.312138728,0.867052023,4.335260116,0.867052023,0,0,1.156069364,0,0,1.734104046,0.578034682,0.578034682,14.45086705,0,0.578034682,0.289017341,0,0,0,32.94797688,0,1.445086705,5.202312139,0,0,1.156069364,0,0.867052023,0,0.867052023,0,0,0,0,6.647398844,0,0,0,0,0.289017341,0,0.578034682,0,0,0,0,0,0.867052023,0.289017341,0.578034682,0.289017341,0.289017341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,899,2266,1452,1486,0.595238095,0.892857143,6.845238095,0,0,0.297619048,0.297619048,0,0,9.226190476,0,2.380952381,3.273809524,1.488095238,1.19047619,1.488095238,0.297619048,0,0.595238095,0,0,0,2.083333333,1.488095238,0,13.39285714,0,0,0,0,0.297619048,0,31.25,0,2.976190476,5.654761905,0.892857143,0,1.19047619,0,0,0,0.595238095,0,0,0.892857143,0,5.654761905,0.297619048,0,0,0.297619048,0.297619048,0,0.297619048,0,0,0,0,0,0.297619048,0.595238095,0.595238095,0,1.785714286,0.297619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,1014,2348,1547,1583,0.609756098,0.609756098,6.707317073,0,0,0,0,0,0.304878049,9.756097561,0,2.43902439,2.743902439,2.134146341,0,4.573170732,1.219512195,0.304878049,0,0.304878049,0.609756098,0,1.524390244,0.609756098,0.609756098,13.1097561,0,0.304878049,0,0,0,0,31.70731707,0,0.304878049,5.182926829,0.609756098,0,2.134146341,0,0,0,0.914634146,0,0,0.304878049,0,3.658536585,0,0,0,0,0.304878049,0,0,0,0,0,0,0,2.134146341,0.609756098,0.609756098,0.609756098,1.829268293,0,0.304878049,0.304878049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,1114,2428,1646,1679,1.5625,0.9375,2.5,0,0.3125,0.625,0,0,0,7.8125,0.3125,1.875,2.1875,1.5625,1.25,4.6875,0.3125,0.3125,0,0,0.3125,0,0.9375,0.3125,0.625,13.125,0,0,0.3125,0,0,0,40.3125,0,1.25,7.5,0,0,1.25,0,0.3125,0,1.5625,0,0,0.625,0,3.4375,0,0,0,0,0.3125,0,0.3125,0.3125,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,1211,2512,1741,1776,0.638977636,1.277955272,5.111821086,0,0,0.319488818,0,0,0.319488818,11.50159744,0,2.555910543,1.277955272,0.638977636,0.958466454,3.194888179,0,0.319488818,0,0,0,0,0.958466454,0.638977636,0.958466454,16.93290735,0,0.319488818,0,0,0,0.319488818,34.18530351,0,0.958466454,7.348242812,0.638977636,0,2.555910543,0,0,0,0.638977636,0,0,0.319488818,0.319488818,1.277955272,0.319488818,0,0,0.638977636,0,0,0,0.319488818,0,0,0,0,0.958466454,1.277955272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,1314,2590,1843,1873,0.318471338,0.636942675,4.458598726,0.318471338,0,0,0,0.318471338,0.955414013,7.006369427,0,2.229299363,1.27388535,0.955414013,0,6.369426752,0,0.318471338,0,0.318471338,0.318471338,0,0.318471338,1.592356688,0,12.42038217,0,0,0,0.318471338,0,0,42.03821656,0,1.592356688,8.917197452,1.27388535,0,0.318471338,0,0,0,0.955414013,0,0,0.955414013,0,1.910828025,0,0,0,0,0,0,0,0.318471338,0,0,0,0,0.318471338,0.318471338,0.636942675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,1416,2679,1942,1970,1.261829653,0.315457413,8.201892744,0,0.315457413,0,0,0,0,11.35646688,0,1.892744479,2.839116719,1.261829653,0.315457413,4.100946372,0.630914826,0.315457413,0,0,0.315457413,0,1.261829653,1.577287066,0.94637224,11.67192429,0,0,0,0,0,0,36.90851735,0,1.261829653,6.624605678,0,0,0.315457413,0,0,0,1.261829653,0,0,0.315457413,0,2.208201893,0,0,0,0.630914826,0,0,0,0,0,0,0,0,0.315457413,1.261829653,0,0,0,0,0,0.315457413,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,1529,2755,2039,2065,0.33557047,0.67114094,7.382550336,0,0.33557047,0,0,0.33557047,0.33557047,5.033557047,0,3.691275168,4.362416107,0.67114094,1.006711409,2.348993289,0,0,0,0.67114094,0,0,2.013422819,0,0.67114094,13.75838926,0,0,0,0,0,0.33557047,43.2885906,0,0.33557047,5.369127517,0.33557047,0,2.013422819,0,1.006711409,0,1.006711409,0,0,1.342281879,0,0,0,0,0,0.33557047,0,0,0,0,0,0,0,0,0,1.006711409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,1632,2835,2136,2162,0.324675325,1.298701299,3.246753247,0.324675325,0,0,0,0,0,7.142857143,0,4.545454545,2.922077922,1.298701299,0.974025974,2.922077922,0.974025974,0,0,0.324675325,0.324675325,0,1.298701299,1.623376623,0.324675325,21.1038961,0,0.324675325,0,0,0.324675325,0,40.90909091,0,0.324675325,2.272727273,1.298701299,0,0.649350649,0,0,0,0.324675325,0,0,0.324675325,0,0.649350649,0.649350649,0,0,0.324675325,0,0,0,0,0,0,0,0,0.324675325,0,0,0,0,0,0,0,0.324675325,0,0,0,0,0,0,0,0,0,0,0,0,0
380,1742,2908,2236,2259,0.322580645,0.64516129,5.806451613,0.322580645,0,0,0,0,0,8.387096774,0,3.225806452,2.903225806,0.967741935,0.322580645,3.225806452,1.290322581,0.64516129,0,0,0.322580645,0,0.967741935,0.64516129,0.64516129,14.51612903,0,0.322580645,0.322580645,0,0,0,40,0,0.64516129,3.548387097,0.64516129,0,1.935483871,0,0,0,1.290322581,0,0,0.64516129,0,0.64516129,0,0,0,0,0.322580645,0,0,0.322580645,0,0,0.322580645,0,0.322580645,1.935483871,0.967741935,0,0,0,0,0,0,0.322580645,0.322580645,0,0,0,0,0,0,0,0,0,0,0
395,1850,2986,2334,2355,0.649350649,1.298701299,3.571428571,0,0.324675325,0,0,0,0.324675325,4.545454545,0,5.194805195,2.922077922,0.324675325,0,1.623376623,0.324675325,0.324675325,0,0,0.324675325,0,1.948051948,1.948051948,1.623376623,14.93506494,0,0,0,0,0,0,47.72727273,0,0.324675325,1.298701299,2.272727273,0,2.272727273,0,0,0,1.298701299,0,0,0.324675325,0,0.324675325,0.324675325,0,0,0,0,0,0,0,0,0.324675325,0,0,0,0,0.324675325,0,0,0,0,0.324675325,0.324675325,0,0,0.324675325,0,0,0,0,0,0,0,0,0,0
420,1973,3063,2432,2452,0.94637224,0.94637224,6.309148265,0,0,0.315457413,0,0,0,4.416403785,0,2.839116719,1.261829653,0.630914826,1.261829653,2.523659306,0.630914826,0.315457413,0,0.315457413,0.315457413,0.315457413,1.577287066,1.577287066,0.94637224,12.30283912,0,0.630914826,0,0,0,0.315457413,48.26498423,0,0.94637224,1.261829653,0.94637224,0,2.208201893,0,0,0,1.577287066,0,0,0.630914826,0,0.315457413,0.315457413,0,0,0,0,0,0,0,0,0,0.94637224,0,0,0.315457413,0.315457413,0,0,0,0,0.315457413,0.315457413,0.315457413,0,0,0.315457413,0,0,0,0,0,0,0,0,0
430,2027,3107,2479,2501,0.651465798,0.651465798,3.583061889,0.325732899,0,0,0,0,0,5.537459283,0,6.188925081,1.954397394,0,0.325732899,2.931596091,0.977198697,0,0,0.325732899,0.325732899,0,1.302931596,0.977198697,0.651465798,12.70358306,0,0.651465798,0,0,0,0.325732899,53.09446254,0,0.325732899,0.325732899,0.977198697,0,0.977198697,0,0,0,0.325732899,0,0,0.977198697,0.325732899,0,0,0,0,0.325732899,0,0,0,0,0,0,0,0,0,0.651465798,0.325732899,0.651465798,0,0,0,0,0.325732899,0,0,0,0,0,0,0,0,0,0,0,0,0
440,2085,3146,2526,2549,0,1.346801347,5.387205387,0,0,0,0,0,0,4.713804714,0,1.346801347,0,0.673400673,0.673400673,3.703703704,0.673400673,0,0.336700337,0.336700337,0,0,0.336700337,1.01010101,0,13.46801347,0,0,1.346801347,0,0,0,55.55555556,0,0.336700337,1.683501684,1.683501684,0.336700337,2.356902357,0,0,0,1.346801347,0,0,0,0.336700337,0,0,0,0,0,0,0,0,0,0,0,0.336700337,0,0,0.673400673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,2203,3222,2623,2645,0.977198697,1.628664495,2.605863192,0,0,0,0,0,0,4.234527687,0,4.234527687,0.977198697,0.651465798,0.325732899,6.840390879,0.325732899,0,0,0,0,0,0.325732899,0.651465798,0,12.05211726,0,0.651465798,0,0,0.325732899,0,55.37459283,0,0.325732899,0.651465798,0.325732899,0,1.954397394,0,0,0,0.651465798,0,0,0.325732899,0,1.628664495,0,0,0,0,0,0,0,0,0,0,0.325732899,0,0,1.302931596,0,0,0,0,0,0.325732899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,2259,3250,2668,2692,1.298701299,0.649350649,4.220779221,0,0.324675325,0.324675325,0,0,0.324675325,8.441558442,0,2.922077922,2.272727273,0.649350649,0,4.220779221,0.649350649,0,0,0,0.324675325,0,2.272727273,0.974025974,0,10.38961039,0,1.298701299,0.324675325,0,0.324675325,0,47.72727273,0,0.324675325,1.298701299,0.649350649,0,1.948051948,0,0.324675325,0,0.649350649,0,0,1.298701299,0.649350649,0.649350649,0,0,0,0,0,0.324675325,0,0,0,0,0,0,0.974025974,0,0,0,0,0,0,0,0.324675325,0,0,0,0,0.324675325,0.324675325,0,0,0,0,0,0,0
480,2316,3289,2718,2741,0.322580645,0.64516129,3.548387097,0,0,0,0,0.322580645,0,7.741935484,0,2.903225806,1.290322581,0.64516129,0.322580645,5.161290323,1.290322581,0,0,0,0,0,0.967741935,2.258064516,0,8.709677419,0,0.322580645,0.322580645,0,0.64516129,0.322580645,53.5483871,0,0,0.64516129,0.967741935,0,1.612903226,0,0.64516129,0,0.64516129,0,0,0.322580645,0,0.967741935,0,0.322580645,0,0,0,0,0,0.64516129,0,0,0.322580645,0,0,0.64516129,0.322580645,0.322580645,0,0,0,0,0,0,0.322580645,0,0,0,0,0,0,0,0,0,0,0
