depth,min,max,median,mean,Ambrosiatype,Betula,Carya,Cyperaceae,Fagus,Fraxinus nigra-type,Fraxinus pennsylvanica-type,Juglans cinerea,Ostrya/Carpinus,Pinus,Platanus,Prunus/Sorbus,Quercus,Tsuga,Acer rubrum,Alnus incana-type,Apiaceae,Asteroideae undiff.,Ilex,Indeterminable,Juglans nigra,Poaceae undiff.,Rumex,Sphagnum,Ulmus,Acer saccharum-type,Artemisia,Castanea,Cornus,Corylus,Myrica,Nyssa,Osmunda,Plantago lanceolata,Poaceae (Cerealia),Rhamnaceae/Vitaceae,Ericaceae,Salix,Tilia,Pteridium-type,Thalictrum,Alnus viridis-type,Caprifoliaceae sensu lato,Dryopteris-type,Picea,Polygonum sensu lato,Unknown,Abies,Anacardiaceae,Polypodiophyta undiff.,Onagraceae,Isoëtes,Lemnoideae,Lycopodium-type,Potamogetonaceae,Potentilla-type,Sagittaria,Sanguisorba,Sparganium-type,Menyanthes trifoliata,Caryophyllaceae,Spermatophyta undiff. (aquatics),Cupressaceae,Ranunculus
80,3843,6426,5269,5235,0.29,2.65,0.00,5.01,1.18,0.59,0.59,0.29,0.59,10.91,0.00,0.00,27.14,4.42,0.29,0.88,0.29,0.00,0.88,0.00,0.29,0.88,0.00,0.88,0.88,0.29,0.00,11.50,0.00,0.29,0.00,16.22,10.32,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.29,0.29,0.29,0.00,0.00,0.29,0.59,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,4732,7011,6096,6048,0.63,1.25,1.25,6.88,1.88,0.00,0.00,0.00,0.94,6.25,0.00,0.00,33.13,5.63,0.31,0.63,0.63,0.00,1.56,0.00,0.00,3.75,0.00,0.31,0.31,0.63,0.00,9.06,0.00,0.31,0.00,17.50,5.31,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.31,0.31,0.31,0.00,0.00,0.31,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100,5849,7513,6921,6860,0.31,0.92,0.62,7.38,2.15,0.00,0.00,0.31,0.62,6.77,0.00,0.00,31.69,4.92,1.23,0.62,0.31,0.00,1.23,0.00,0.00,0.92,0.00,1.23,0.31,0.31,0.00,8.92,0.00,0.00,0.00,21.54,6.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
105,6514,7682,7330,7267,0.63,1.90,0.63,6.01,1.90,0.32,0.32,0.00,0.63,8.86,0.32,0.00,30.06,6.96,0.32,0.00,0.32,0.32,1.90,0.00,0.00,2.85,0.00,0.00,0.32,0.32,0.00,9.81,0.00,0.32,0.00,17.41,4.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.63,0.00,0.63,0.00,0.32,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108,7207,7782,7536,7525,0.00,2.85,0.32,6.65,0.63,0.32,0.00,0.00,0.95,35.44,0.00,0.32,5.06,0.63,0.00,0.00,0.32,1.58,0.63,0.00,0.00,2.53,0.00,0.95,0.32,0.00,0.00,0.00,0.00,1.27,0.00,0.32,1.27,0.00,0.00,0.00,0.00,1.27,0.00,0.00,0.00,16.46,0.32,0.32,8.54,0.00,0.32,3.48,0.00,0.00,0.00,0.32,0.32,0.63,0.63,0.95,0.32,3.16,0.63,0.00,0.00,0.00,0.00,0.00
110,7495,8160,7769,7784,0.00,4.46,0.00,13.38,0.00,0.64,0.00,0.00,0.96,28.98,0.00,0.32,3.82,0.32,0.00,0.96,0.32,2.55,0.00,0.32,0.00,4.14,0.00,1.91,0.00,0.32,0.32,0.00,0.32,0.96,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.32,0.00,15.92,0.00,0.00,8.92,0.00,0.32,2.55,0.00,0.00,0.00,1.91,0.00,0.00,0.00,0.32,0.00,2.23,0.00,0.32,0.00,0.00,0.00,0.00
115,7854,11120,8861,9027,0.31,2.50,0.00,15.63,0.31,0.94,0.00,0.00,2.81,27.19,0.00,0.94,2.19,0.00,0.00,0.00,0.00,3.44,0.31,0.00,0.00,0.94,0.00,1.56,0.00,0.00,0.63,0.00,0.00,1.56,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,10.94,0.00,0.31,12.19,0.00,0.00,2.19,0.00,0.00,0.31,2.19,0.00,0.31,0.31,0.00,0.31,6.25,0.63,0.31,0.31,0.63,0.00,0.00
120,8488,12800,10222,10342,0.31,2.50,0.00,8.44,0.31,0.31,0.00,0.00,0.31,20.31,0.00,0.00,5.63,0.31,0.00,0.31,1.56,5.00,0.63,0.00,0.00,0.94,0.00,1.25,0.00,0.00,0.63,0.00,0.31,1.88,0.31,1.25,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,6.25,0.31,0.63,20.31,0.00,0.31,0.94,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,14.06,0.94,0.94,0.00,0.00,0.00,0.00
125,9468,13911,11666,11664,0.00,2.31,0.29,15.61,0.29,0.29,0.00,0.00,0.29,19.08,0.00,0.00,4.34,0.58,0.00,0.58,0.29,4.05,0.29,0.29,0.00,3.47,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.29,1.16,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.62,0.00,0.29,12.43,0.00,0.87,2.02,0.00,0.00,0.00,7.51,0.00,0.29,0.58,0.00,0.00,13.29,2.02,0.58,0.00,0.29,0.29,0.29
130,10630,14862,12934,12900,0.29,2.90,0.00,10.43,0.00,0.00,0.00,0.00,0.58,8.12,0.00,0.29,1.74,0.00,0.00,0.29,2.03,5.51,0.00,0.00,0.00,3.48,0.00,0.00,0.00,0.00,0.58,0.00,0.29,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.00,0.00,0.58,0.00,0.00,0.00,20.29,0.00,1.45,0.87,0.00,0.00,0.29,8.12,0.00,0.29,0.29,0.29,0.00,26.38,1.74,1.16,0.00,0.29,0.00,0.29
140,14664,16184,15468,15441,0.32,1.30,0.00,3.25,0.00,0.00,0.00,0.00,0.32,8.12,0.00,0.32,1.95,0.00,0.00,0.65,2.27,7.47,0.00,0.00,0.00,2.60,0.32,0.00,0.00,0.00,1.30,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.32,0.00,0.00,0.00,30.19,0.00,0.97,0.00,0.00,0.00,0.32,0.32,0.00,0.00,0.00,1.30,0.00,34.09,0.97,0.65,0.00,0.00,0.00,0.00
