depth	min	max	median	mean
0	-69	194	-10	10
5	-33	321	103	115
10	32	414	213	217
20	306	1956	750	858
25	590	2864	1425	1506
40	2035	4864	3521	3498
50	3415	5699	4839	4757
60	5011	7094	5887	5928
70	5745	8440	6939	6982
80	6559	9697	8029	8045
85	6993	10211	8577	8594
90	7512	10718	9139	9135
95	8083	11192	9723	9700
97.5	8434	11354	10003	9969
100	8670	11607	10267	10237
102.5	8986	11775	10530	10495
105	9229	12031	10795	10752
115	10510	12697	11914	11827
125	12664	13136	12907	12906
