depth,min,max,median,mean,Acer,Alnus,Ambrosia-type,Asteroideae undiff.,Betula,Brasenia schreberi,Carya,Castanea,Corylus,Ericales,Fagus,Fraxinus,Ilex,Juglans,Nyssa,Osmunda,Picea,Pinus,Poaceae,Potamogetonaceae,Quercus,Sphagnum,Tsuga,Ulmus,Cyperaceae,Magnolia,Pteridium-type,Tilia,Cornus,Nymphaea,Salix,Cephalanthus,Dryopteris-type,Urticaceae,Nuphar,Viburnum,Liriodendron,Polygonum sensu lato,Amaranthaceae,Myriophyllum,Lycopodium-type,Typha/Sparganium,Utricularia,Ostrya/Carpinus,Botrychium,Sanguisorba,Isoëtes,Apiaceae,Abies,Ranunculaceae undiff.,Campanula,Thalictrum,Artemisia,Caryophyllaceae,Epilobium,Platanus,Selaginella,Polemonium
100,5760,9472,7715,7693,0,6.097560976,0.304878049,0.914634146,0.609756098,2.43902439,5.487804878,2.134146341,0.914634146,0,0.304878049,0,0,0.304878049,0.609756098,0.914634146,0.914634146,7.926829268,0,0,62.80487805,0.304878049,1.829268293,0,0,0,0,0,0,0,0,4.87804878,0,0,0,0,0,0,0,0,0.304878049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,6264,9827,8155,8130,0,3.458213256,0.864553314,1.44092219,0.576368876,7.204610951,1.729106628,0.576368876,0.288184438,0,0.288184438,0.288184438,0,0.288184438,1.44092219,0.288184438,1.44092219,10.08645533,2.305475504,0.288184438,58.50144092,0,2.305475504,0.576368876,2.305475504,0,0,0,0,0,0,2.305475504,0,0,0,0,0,0,0,0,0,0.864553314,0.288184438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6775,10242,8590,8568,0.292397661,0.584795322,0.877192982,5.263157895,1.169590643,4.093567251,2.046783626,0.877192982,1.169590643,0,0.584795322,0,0,0,0,0,4.678362573,9.941520468,3.216374269,0,52.04678363,3.216374269,3.216374269,0.584795322,2.631578947,0,0.584795322,0.292397661,0,0,0.292397661,0.584795322,0.877192982,0,0,0,0,0.292397661,0,0,0.292397661,0,0,0.292397661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,7272,10583,9027,9002,0.611620795,0,1.22324159,3.975535168,0.611620795,0.611620795,1.22324159,0.611620795,0,0,0,0.305810398,0,0,0,0.305810398,7.033639144,14.06727829,2.44648318,0.305810398,59.93883792,1.22324159,1.529051988,0.611620795,0.611620795,0,0,0,0.305810398,0,0,1.529051988,0,0,0,0,0,0,0.305810398,0,0,0,0,0,0.305810398,0.305810398,0,0,0,0,0,0,0,0,0,0,0,0
120,7854,10929,9479,9449,0,0.611620795,0,3.363914373,0.917431193,4.281345566,1.529051988,1.834862385,1.834862385,0,1.834862385,0,0,0.305810398,0,0.305810398,11.00917431,12.8440367,0.917431193,0.305810398,49.8470948,0.611620795,4.281345566,0.305810398,0.611620795,0,0.611620795,0,0,0,0,0.305810398,0.305810398,0,0.305810398,0,0,0,0,0.611620795,0,0,0,0,0,0,0.305810398,0,0,0,0,0,0,0,0,0,0,0
125,8460,11262,9901,9877,1.201201201,3.003003003,0,1.801801802,3.003003003,0.3003003,0.900900901,0.3003003,0.900900901,0,0,0,0,0.3003003,0,0,11.71171171,20.12012012,0,0,44.74474474,3.603603604,1.801801802,0,0,0,1.201201201,0,0,0,0,0.900900901,0.3003003,0,0,0,0,0,0,0,2.102102102,0,0,0,1.501501502,0,0,0.3003003,0,0,0,0,0,0,0,0,0,0
130,9024,11618,10325,10319,0,0.609756098,0,0,2.134146341,2.134146341,2.134146341,0,0.609756098,0.609756098,0,0,0,0.609756098,0,1.829268293,11.58536585,20.12195122,0.609756098,0,47.25609756,1.524390244,3.658536585,0.609756098,1.219512195,0,0,0,0,0,0,1.219512195,0,0,0.304878049,0,0,0.304878049,0,0,0,0.609756098,0,0,0.304878049,0,0,0,0,0,0,0,0,0,0,0,0,0
135,9763,12035,10741,10771,0.284090909,5.113636364,0,3.693181818,0.284090909,0.852272727,0,0,3.693181818,0.284090909,0,0,0,0,0,0.568181818,16.19318182,47.44318182,0,0,6.534090909,5.681818182,0.852272727,0,0.852272727,0,0.568181818,0,0.284090909,0,0,0.284090909,3.977272727,0,0,0,0,0,0,0.852272727,0.284090909,0.284090909,0,0,0.568181818,0,0.284090909,0,0.284090909,0,0,0,0,0,0,0,0,0
140,10481,12496,11226,11293,0,2.402402402,0,4.804804805,1.501501502,0.900900901,0,0,2.702702703,0.3003003,0.3003003,0,0,0,0,0,20.42042042,48.64864865,0.600600601,0,6.606606607,0.3003003,0,0,3.303303303,0,0,0,0,0,0.600600601,0,0.3003003,0,0,0,0,0,0,3.303303303,0.3003003,0.600600601,0,0,0.3003003,0,0.900900901,0.600600601,0.3003003,0,0,0,0,0,0,0,0,0
145,10930,13333,11915,11975,0.314465409,3.459119497,0.314465409,3.144654088,3.459119497,0,0,0,3.459119497,0.943396226,0,0,0,0,0,0,17.61006289,48.74213836,1.572327044,0.314465409,11.00628931,1.257861635,0,0,1.572327044,0,0.314465409,0,0,0,0,0,0,0,0,0,0,0,0.314465409,0.943396226,0,0.628930818,0,0,0,0,0.314465409,0,0,0.314465409,0,0,0,0,0,0,0,0
150,11420,14106,12668,12694,0,1.547987616,0,4.024767802,3.405572755,0.309597523,0.619195046,0,0.619195046,0,0,0.309597523,0,0,0,0,27.55417957,51.39318885,0.92879257,0,4.024767802,0,0,0,1.547987616,0,0,0,0,0,0,0,0,0,0.309597523,0,0,0,0,0.619195046,0.309597523,0,0,0.619195046,0,0,0.92879257,0.309597523,0.619195046,0,0,0,0,0,0,0,0,0
155,12011,14728,13399,13389,0,1.898734177,0,4.113924051,0.316455696,0,0,0,0.316455696,0,0,0.316455696,0,0,0,0,27.84810127,56.32911392,0,0,2.53164557,0,0,0,0.949367089,0,0,0,0,0,0,0,0,0,1.265822785,0,0,0,0,0.632911392,0,0.316455696,0,0,0.316455696,0,1.582278481,0.316455696,0,0,0.316455696,0.632911392,0,0,0,0,0,0
160,12725,15230,14109,14083,0,2.839116719,0,4.731861199,0.315457413,0,0.315457413,0,0.94637224,0,0,0,0,0,0,0.315457413,29.02208202,46.37223975,0.630914826,0,3.785488959,0,0,0,1.261829653,0,0,0,0,0,0,0.315457413,0,0.315457413,0.94637224,0,0,0,0,0.630914826,0.630914826,0.315457413,0,2.208201893,0,0.315457413,1.261829653,0.630914826,0.94637224,0,0,0.315457413,0.315457413,0.315457413,0,0,0,0
165,13879,15667,14818,14793,0,2.167182663,0,4.643962848,1.857585139,0,0,0,2.167182663,0,0,0,0,0,0,0,25.3869969,52.0123839,0.619195046,0,1.857585139,0,0,0,1.857585139,0,0,0,0,0,0,0.309597523,0,0,0.92879257,0,0,0,0,0,0.309597523,0.619195046,0,0.619195046,0,0.619195046,3.405572755,0.309597523,0,0,0,0,0,0,0.309597523,0,0,0
170,14211,16658,15282,15309,0,0.909090909,0,3.333333333,1.212121212,0,0,0,0,0,0,0,0,0,0,0,35.15151515,47.57575758,0.303030303,0,0.303030303,0,0,0,2.727272727,0,0,0,0.303030303,0,0,0,0,0,1.212121212,0,0,0,0,1.818181818,0.303030303,0,0,0.303030303,0,0.606060606,3.333333333,0,0.606060606,0,0,0,0,0,0,0,0,0
175,14539,17471,15757,15818,0.293255132,2.93255132,0,5.278592375,4.985337243,0,0.586510264,0,1.759530792,0.293255132,0,0,0,0,0,0,20.52785924,43.1085044,3.519061584,0.293255132,3.225806452,0,0,0,2.93255132,0,0,0,0,0,0,0,0,0,2.346041056,0,0,0,0,2.346041056,0.293255132,1.759530792,0,0.586510264,0,0,2.346041056,0.293255132,0,0,0,0.293255132,0,0,0,0,0,0
180,14844,18192,16256,16324,0,0.817438692,0,5.449591281,0.544959128,0.272479564,0,0,0,0,0,0,0,0,0,0,23.16076294,47.68392371,1.36239782,0,0.544959128,0,0,0,2.452316076,0,0,0,0,0,0,0,0,0,1.907356948,0,0,0,0,1.089918256,0.544959128,0,0,0,0,1.36239782,11.98910082,0,0.272479564,0,0,0,0,0,0,0.544959128,0,0
185,15209,18859,16755,16832,0,0.900900901,0,3.828828829,1.801801802,0,0.225225225,0,0,0.225225225,0,0,0,0,0,0,17.11711712,38.51351351,1.351351351,0.45045045,0.675675676,0,0,0,2.477477477,0,0,0,0,0,0,0.45045045,0,0,0,0,0,0,0,1.126126126,0,0.45045045,0,0,0,1.126126126,27.47747748,0.675675676,0,0.225225225,0,0,0.900900901,0,0,0,0,0
190,15554,19579,17267,17340,0,1.292407108,0,3.392568659,0.807754443,0,0,0,0.161550889,0,0,0,0,0,0,0,18.90145396,20.67851373,0.484652666,0.323101777,0.807754443,0,0,0,2.261712439,0,0,0,0.161550889,0,0,0.484652666,0,0,0,0,0,0,0.161550889,0.484652666,0.323101777,0.323101777,0,0.161550889,0,0.969305331,47.33441034,0,0,0.161550889,0,0,0,0,0,0.161550889,0.161550889,0
195,15895,20227,17769,17850,0.232018561,0.928074246,0,3.712296984,1.392111369,0,0,0,0.464037123,0,0,0,0,0,0,0,23.43387471,34.3387471,0.696055684,0.232018561,0.696055684,0,0,0,0.696055684,0,0,0,0.232018561,0,0,0,0,0,0,0,0,0,0.232018561,0.928074246,0.232018561,0.696055684,0,0,0,2.088167053,27.61020882,0.464037123,0.464037123,0,0,0,0,0,0,0,0.232018561,0
200,16299,20932,18287,18368,0,0.184162063,0,2.762430939,0.368324125,0,0,0,0.184162063,0,0,0,0,0,0,0,21.36279926,27.0718232,1.104972376,0.368324125,0.184162063,0,0,0,3.49907919,0,0,0,0,0,0.184162063,0,0,0,0,0,0,0,0,0.552486188,0,0,0,0,0,1.104972376,40.33149171,0,0.184162063,0.184162063,0,0,0.368324125,0,0,0,0,0
205,16700,21569,18787,18884,0,0.27100271,0,4.60704607,0.54200542,0,0,0,1.08401084,0,0,0.27100271,0,0,0,0,26.55826558,44.17344173,0.27100271,0.27100271,0.54200542,0.27100271,0,0,1.08401084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62601626,0,0,0,0,0,1.89701897,15.98915989,0.27100271,0.27100271,0,0,0,0,0,0,0,0,0
210,17050,22248,19301,19400,0,0,0,6.748466258,1.533742331,0,0,0,0,0,0,0,0,0,0,0,34.96932515,42.02453988,0.613496933,0,0.306748466,0,0,0,4.601226994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306748466,0,0,0,0,4.601226994,3.374233129,0.613496933,0,0,0,0,0,0,0,0,0,0.306748466
