depth,min,max,median,mean,Alnus incana-type,Alnus viridis-type,Ambrosia/Iva,Arceuthobium,Asteroideae undiff.,Betula,Carya,Castanea,Cephalanthus occidentalis,Corylus,Cyperaceae,Equisetum,Fagus grandifolia,Indeterminable,Juglans cinerea,Juglans nigra,Liquidambar styraciflua,Lycopodiaceae undiff.,Nuphar,Nyssa,Osmunda regalis/O. claytoniana,Ostrya/Carpinus,Pinus undiff.,Platanus occidentalis,Poaceae,Populus,Quercus,Salix,Tsuga,Typha angustifolia/Sparganium,Unknown,Ericaceae,Fabaceae,Fraxinus undiff.,Osmundastrum cinnamomeum,Persicaria lapathifolia-type,Pinus subg. Pinus,Pinus subg. Strobus,Pteridium,Acer rubrum,Acer saccharum,Apiaceae,Brassicaceae,Ilex,Picea undiff.,Sagittaria,Ulmus,Cornus,Lamiaceae,Thalictrum,Tilia,Unknown (trilete) undiff.,Abies,Acer negundo,Amaranthaceae,Fraxinus pennsylvanica-type,Urticaceae,Nymphaea,Polypodiaceae,Fraxinus nigra-type,Plantago,Diospyros,Artemisia,Rhamnaceae,Acer undiff.,Botrychium,Sphagnum,Cupressaceae,Diphasiastrum complanatum,Alnus undiff.,Caryophyllaceae,Epilobium,Huperzia lucidula,Isoëtes lacustris,Lycopodium annotinum,Lycopodium obscurum,Polemonium,Coniferae undiff.,Huperzia selago,Sanguisorba canadensis,Larix,Menyanthes trifoliata,Picea glauca,Picea mariana,Rosaceae undiff.,Campanula,Cichorioideae,Selaginella selaginoides,Galium,Stuckenia vaginata-type,Drosera
100,11594,13541,12667,12631,0,0,0,0,0,0.836820084,3.347280335,0,10.041841,0,0.418410042,0.209205021,1.255230126,0,0.418410042,0,0,0,1.255230126,2.30125523,0,0,7.322175732,0,1.046025105,0.209205021,61.29707113,2.092050209,3.347280335,0.418410042,0.836820084,0,0,0,0,0.209205021,0.627615063,0,0.209205021,0.418410042,0,0,0,0.209205021,0,0,0.209205021,0,0,0,0.209205021,0,0,0,0,0,0,0,0,0,0,1.255230126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,11851,13712,12865,12835,0,0,0.854700855,0,0.854700855,1.068376068,1.709401709,0.213675214,19.65811966,0,0.854700855,0,0.641025641,0,0,0,0,0,0.641025641,2.564102564,0.213675214,0.213675214,1.495726496,0.213675214,0.641025641,0.213675214,49.35897436,8.547008547,2.136752137,0,1.495726496,0,0,0,0,0.427350427,0.641025641,0,0,0.427350427,0,0,0,0.427350427,0,0,0.213675214,0.427350427,0,0.213675214,0.213675214,0,0,0,0.213675214,0,0,0.213675214,2.564102564,0,0,0,0.213675214,0.213675214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,12104,13877,13073,13040,0,0,0.852878465,0,0.852878465,1.066098081,2.771855011,0.213219616,14.28571429,0,0.852878465,0,0,0,0.213219616,0,0,0,0,1.918976546,0.213219616,1.066098081,4.690831557,0,0.639658849,1.492537313,43.71002132,6.18336887,2.985074627,0,1.066098081,1.066098081,0.426439232,0,0,1.279317697,0.426439232,0.639658849,3.624733475,0,0,0,0,1.279317697,0,0,0.213219616,0,0,0.213219616,0,0,0,0,0,0,0,0,2.771855011,0,0,0.639658849,0,0,0.426439232,1.492537313,0.426439232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,12372,14055,13281,13251,0,0,1.418439716,0,1.182033097,0.945626478,1.654846336,0,7.56501182,0,0.709219858,2.127659574,0.236406619,0,0.472813239,0,0,0,0,0.472813239,0,0.472813239,4.255319149,0,0.709219858,2.364066194,38.53427896,9.219858156,8.983451537,0,1.654846336,0.236406619,0,0,0,1.418439716,0,0,0.472813239,0,0.236406619,1.182033097,0,0,0,0,0,0,0,0,0.472813239,0.945626478,0,0,0,0,0,0,11.82033097,0,0,0.236406619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,12632,14249,13523,13491,0,0,0,1.204819277,0,0,0,0,0.602409639,0,2.409638554,1.807228916,0,0,0,0,0,0,0,0,0,0,0.602409639,0,0,0.602409639,1.204819277,1.204819277,0.602409639,0.602409639,0,0,0,0,0,0.602409639,0,0,39.75903614,0,0,0,0,0,0,0,0,0,0,0,0,5.421686747,0.602409639,0,0,0,0,0,40.36144578,0,0,0,0,0,0,1.807228916,0,0.602409639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12771,14337,13645,13611,0.210970464,0,0,0,0.843881857,0.210970464,0,0,0.632911392,0.210970464,0,7.594936709,0,5.485232068,0,0,0,0.421940928,0,0.210970464,0,0.210970464,0,0,0.210970464,4.852320675,8.227848101,1.265822785,0.210970464,0.210970464,1.265822785,0,0,0,0,0,0.210970464,0,15.40084388,0,0,0,0,0,0,0,0,0,0,0.210970464,0,3.164556962,0.210970464,0,0,0,0,0,46.62447257,0,0,0,0,0,0,0.843881857,0,0.210970464,0.843881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,12907,14429,13760,13727,3.874813711,7.600596125,0.149031297,0.44709389,4.619970194,0,1.341281669,0,1.937406855,1.788375559,12.51862891,13.41281669,0,0.149031297,0,0.149031297,0,1.490312966,0,0.298062593,0,4.76900149,1.192250373,0,1.490312966,1.192250373,12.51862891,0.894187779,0.745156483,0,4.172876304,0,0,0,0,0.745156483,0.596125186,0,1.788375559,0.149031297,0.149031297,0,0,0,2.533532042,0,0,0,0,0.44709389,0,2.086438152,1.192250373,0,0,0,0,0,9.239940387,0,0,0,0,0,0,0.44709389,0,0,0.44709389,1.490312966,0.596125186,0.298062593,0.149031297,0.298062593,0.298062593,0.149031297,0.149031297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,13185,14627,13996,13968,16.40091116,2.961275626,0.227790433,0,10.47835991,0.227790433,0.227790433,0,0,2.961275626,0.683371298,14.12300683,0,2.050113895,0,0,0,0,0.227790433,2.277904328,0,11.38952164,2.277904328,0,0.683371298,0,12.75626424,0.227790433,2.733485194,0.227790433,1.822323462,0,0,0,0,0.227790433,0,0.227790433,2.277904328,0,0,0,0,0,0.227790433,0,0,0,0,0.683371298,0,0,0.683371298,0,0,0,0,0,2.505694761,0,0,0,0,0,0,0.227790433,0,0.227790433,0,6.150341686,0.227790433,0,0,0,0,0,0.227790433,0.683371298,0.227790433,0.227790433,0,0,0,0,0,0,0,0,0,0,0
170,13501,14796,14237,14208,10.04672897,0.934579439,0,0,4.205607477,0.934579439,0.700934579,0.23364486,0,0.23364486,5.841121495,2.102803738,0,0,0,0,0,0.46728972,1.635514019,0.46728972,0,8.177570093,10.04672897,0,1.401869159,0.46728972,12.61682243,0,5.140186916,3.504672897,0.46728972,0,0,0,3.037383178,0.23364486,0.700934579,0.23364486,0.934579439,0.46728972,0.700934579,0,0.23364486,0,7.476635514,0,0,0.23364486,0,0.46728972,0.23364486,0,9.345794393,0,0,0,0,0,3.037383178,0,0,0,0,0,0,0,0.23364486,0,0,1.635514019,0.46728972,0,0,0.23364486,0,0,0,0,0,0,0.46728972,0,0,0,0,0,0,0,0,0,0
175,13647,14891,14353,14326,31.56779661,4.237288136,0,0.211864407,5.296610169,0.423728814,0,0,0,1.059322034,9.745762712,2.118644068,0,0,0,0,0,0,0.423728814,0,0,3.389830508,10.80508475,0,2.330508475,0.423728814,3.813559322,0,0,1.271186441,1.483050847,0,0,0,0,0,0.847457627,0,0,0.211864407,0,0,0,0,1.483050847,0,0.211864407,0,0,1.059322034,0.211864407,0,6.56779661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211864407,0,1.906779661,0,0.63559322,0,0.211864407,0,0,0.211864407,2.118644068,0,0,0,0.423728814,4.237288136,0.423728814,0.423728814,0,0,0,0,0,0
